Elevation,Altitude,Distance,RSS
3,11,100,-75
3,12,102,-76
3,12,104,-75
3,11,105,-76
3,12,106,-77
3,12,107,-73
3,12,108,-74
3,12,110,-78
3,11,112,-78
3,11,114,-73
3,11,115,-77
3,11,116,-76
3,11,117,-81
2,11,119,-89
2,11,122,-74
2,11,124,-75
2,12,126,-79
2,11,128,-89
2,11,129,-83
2,11,130,-83
2,11,131,-73
2,11,132,-73
2,11,134,-75
2,11,135,-79
2,11,136,-84
2,12,137,-52
3,12,138,-80
3,12,139,-77
3,11,141,-79
3,11,142,-86
3,11,143,-89
3,11,146,-83
3,11,149,-85
3,11,154,-78
3,11,156,-73
3,11,157,-83
3,11,160,-85
3,11,161,-84
3,11,162,-79
3,10,163,-85
3,10,165,-79
3,10,166,-80
3,10,167,-82
3,10,169,-79
3,9,171,-72
3,9,173,-78
3,9,174,-70
3,9,175,-76
3,9,177,-85
2,9,179,-82
2,9,181,-84
2,9,183,-81
2,9,184,-77
2,9,186,-75
2,9,187,-77
2,9,188,-74
2,9,189,-79
2,9,190,-75
2,9,191,-73
2,9,192,-77
2,9,194,-75
2,9,195,-74
2,10,197,-83
2,10,199,-80
2,10,200,-74
2,11,201,-73
2,11,203,-76
2,12,205,-77
2,12,206,-77
2,12,207,-77
2,12,208,-74
2,13,210,-76
2,13,211,-80
2,13,213,-85
2,14,214,-82
2,14,216,-81
2,14,217,-75
2,14,218,-76
2,14,219,-76
2,14,220,-78
2,14,221,-78
2,13,223,-82
2,13,225,-76
2,13,226,-76
2,13,227,-80
2,13,229,-75
2,13,230,-77
2,14,231,-73
2,13,233,-71
2,14,234,-71
2,14,236,-71
2,13,238,-79
2,13,240,-69
2,14,242,-70
2,14,244,-68
2,14,246,-70
2,14,248,-74
2,14,250,-70
2,14,251,-64
2,14,254,-72
2,14,255,-72
2,14,256,-76
2,14,259,-77
2,13,261,-80
2,13,264,-72
2,13,265,-79
2,13,267,-74
2,13,268,-67
2,13,270,-70
2,13,271,-68
2,13,276,-39
2,12,278,-40
2,13,281,-40
2,13,283,-41
3,13,284,-46
3,13,285,-49
3,13,287,-49
3,13,288,-42
3,13,289,-43
3,13,291,-66
3,14,292,-61
3,14,293,-66
3,14,294,-65
3,15,295,-74
3,15,296,-71
3,15,297,-71
3,15,298,-71
3,14,300,-76
3,14,301,-75
3,15,302,-84
3,14,304,-75
3,14,305,-87
3,15,307,-76
3,15,309,-76
3,15,312,-75
3,15,313,-75
3,15,315,-75
3,15,316,-73
3,16,318,-73
3,16,320,-74
3,17,323,-79
3,17,324,-75
3,17,326,-85
3,17,328,-71
3,17,329,-80
3,17,330,-74
3,17,331,-82
3,17,332,-77
3,16,333,-71
2,16,335,-81
2,16,336,-73
2,16,338,-69
2,16,340,-72
2,16,342,-70
2,16,343,-76
2,16,345,-73
2,16,347,-88
2,16,348,-79
2,17,351,-80
2,16,352,-80
2,16,354,-71
2,16,357,-74
2,15,358,-73
2,15,361,-81
2,15,363,-79
2,15,365,-79
2,15,366,-81
2,15,368,-75
2,15,369,-79
2,14,371,-74
2,14,373,-77
2,14,374,-74
2,13,376,-74
2,13,379,-74
2,13,381,-75
2,14,384,-80
2,14,387,-81
2,14,389,-77
2,14,390,-76
2,15,393,-77
1,15,394,-78
1,15,396,-80
1,15,397,-81
1,15,399,-82
1,15,402,-80
1,15,404,-74
1,15,406,-74
1,15,408,-84
1,15,411,-80
1,15,412,-75
1,15,415,-73
1,15,417,-78
1,15,419,-79
1,15,421,-79
1,15,424,-68
1,15,425,-69
1,15,427,-68
1,15,428,-76
1,14,431,-74
1,14,432,-79
1,14,433,-74
1,14,436,-75
1,14,437,-70
1,14,438,-70
1,14,439,-74
1,14,440,-67
1,14,442,-72
1,14,444,-68
1,14,447,-80
1,14,450,-80
1,14,453,-84
1,14,457,-78
1,15,461,-82
1,15,464,-76
1,15,468,-77
1,15,472,-70
2,15,476,-81
